max_vec:
Permutation("cdfabe", 1574.0334764734434, 369.7188791201572)
Permutation("bedcaf", 1574.033476469549, 369.71887912288963)
Permutation("baedcf", 1574.0166606279504, 369.7158564577442)
Permutation("cfabde", 1574.016660623124, 369.7158564613274)
Permutation("adbcef", 1565.1077027556908, 395.3959450640143)
Permutation("cbfead", 1565.107702745147, 395.3959450612708)
Permutation("dacbfe", 1565.1061430387304, 395.3959823970528)
Permutation("adfecb", 1565.1061430152392, 395.3959823932383)
Permutation("dacbef", 1561.1263800967963, 373.003464480202)
Permutation("adfebc", 1561.1263800830584, 373.0034644776544)
Permutation("adbcfe", 1561.1258616164864, 373.0030509904836)
Permutation("bcfead", 1561.1258615981267, 373.00305098753057)
Permutation("beafdc", 1559.182452860941, 394.4048736620784)
Permutation("ebdcaf", 1559.1824528587804, 394.40487366198204)
Permutation("edbacf", 1559.1680198081278, 394.40292153625865)
Permutation("baedfc", 1559.168019805554, 394.4029215360494)
Permutation("dcafbe", 1557.0393793826631, 394.2653293975302)
Permutation("afdceb", 1557.03937936956, 394.2653293947214)
Permutation("cfbaed", 1557.023404042728, 394.26313476504185)
Permutation("abdecf", 1557.023404024716, 394.2631347622565)
Permutation("becdaf", 1554.4100490387639, 372.0086670783363)
Permutation("cdafbe", 1554.4100490278654, 372.0086670767175)
Permutation("cfbade", 1554.3950285272151, 372.0061585896947)
Permutation("badecf", 1554.395028523812, 372.00615858930377)
Permutation("beafcd", 1553.8200282099829, 371.55652377115615)
Permutation("afcdbe", 1553.8200281980896, 371.55652376955436)
Permutation("debacf", 1553.8045294313674, 371.5541192007495)
Permutation("abedfc", 1553.8045294292288, 371.55411920054644)
Permutation("aebcdf", 1551.6937305439528, 405.52403277852636)
Permutation("cafebd", 1551.693730542665, 405.52403277807156)
Permutation("dfcbae", 1551.6894207265157, 405.523344584068)
Permutation("acfedb", 1551.6894207130597, 405.5233445820544)
Permutation("bdafec", 1547.920894988741, 405.3297149312217)
Permutation("eadcbf", 1547.920894981718, 405.329714930572)
Permutation("bfedac", 1547.9083566734073, 405.3286117206833)
Permutation("ecbadf", 1547.9083566711715, 405.328611720419)
Permutation("dbafce", 1541.9912181901218, 404.7217838071379)
Permutation("aedcfb", 1541.9912181862894, 404.72178380645016)
Permutation("cebafd", 1541.9744861747283, 404.72112629758817)
Permutation("acdebf", 1541.9744861675872, 404.7211262966111)
Permutation("afbcde", 1539.7580123878374, 518.1962346147932)
Permutation("bafecd", 1539.7580123813893, 518.1962346127872)
Permutation("decbaf", 1539.754582769724, 518.1960765992307)
Permutation("abfedc", 1539.7545827521235, 518.1960765965971)
Permutation("bcafed", 1535.726652208457, 518.750242029041)
Permutation("abcdfe", 1535.7266522056116, 518.7502420274906)
Permutation("afedbc", 1535.7143777766225, 518.7507889465791)
Permutation("dcbaef", 1535.714377769622, 518.7507889461416)
Permutation("aecbdf", 1532.8304979111708, 343.6716982688642)
Permutation("caefbd", 1532.8304978905278, 343.67169826584325)
Permutation("acefdb", 1532.8280423795684, 343.6710030850581)
Permutation("dfbcae", 1532.8280423708613, 343.67100308278066)
Permutation("bacdef", 1530.6947139079666, 518.6337350886066)
Permutation("cbafde", 1530.6947138819394, 518.6337350833078)
Permutation("cdbafe", 1530.6785606521564, 518.6343709747912)
Permutation("bcdeaf", 1530.6785606308126, 518.6343709710076)
Permutation("eacdbf", 1527.7967541578337, 343.00988930344073)
Permutation("bdfaec", 1527.7967541527175, 343.0098893032133)
Permutation("bfdeac", 1527.783111312457, 343.0077803046435)
Permutation("ecabdf", 1527.7831113120344, 343.00778030482905)
Permutation("aecdfb", 1524.2379952287286, 342.4447747644333)
Permutation("dbface", 1524.237995226841, 342.4447747623865)
Permutation("ceabfd", 1524.2218852803303, 342.4426496990494)
Permutation("acedbf", 1524.2218852743085, 342.4426496965713)
Permutation("afcbde", 1517.01307851797, 353.9627878945391)
Permutation("baefcd", 1517.0130784914088, 353.9627878888005)
Permutation("abefdc", 1517.008993765154, 353.96257470738647)
Permutation("debcaf", 1517.0089937606183, 353.9625747064736)
Permutation("bcfaed", 1510.8171233525438, 353.17374527759733)
Permutation("abdcfe", 1510.817123329182, 353.17374527232823)
Permutation("afdebc", 1510.8059882492273, 353.17187944606206)
Permutation("dcabef", 1510.8059882460834, 353.1718794456782)
Permutation("badcef", 1509.5385312411552, 353.03721745851084)
Permutation("cbfade", 1509.538531223849, 353.0372174548713)
Permutation("cdabfe", 1509.5284740086604, 353.03524802079994)
Permutation("bcedaf", 1509.5284739907402, 353.0352480169173)
Permutation("abfecd", 1383.2426958554174, 499.5981272796337)
Permutation("afbced", 1383.2426958476485, 499.5981272783221)
Permutation("bacdfe", 1377.4445654826318, 500.26559957702773)
Permutation("bcafde", 1377.4445654582487, 500.2655995726021)
Permutation("cdbaef", 1377.431480243943, 500.2663648014721)
Permutation("cbdeaf", 1377.4314802316571, 500.2663647993554)
Permutation("acfebd", 1376.4485940382667, 371.0413120413837)
Permutation("aebcfd", 1376.4485940269938, 371.04131203884253)
Permutation("aecbfd", 1374.696238124511, 279.70224346876614)
Permutation("acefbd", 1374.6962381182793, 279.7022434672524)
